"SubIn","Goals","Assists","AverageGoalspermatch","AverageAssistspermatch","Yellow","Red","SpG","AW","Tackle","Int","Fouls","OffWon","Clr","WasDribbled","BlkShots","OG","KeyPasses","Dribbles","Fouled","Offs","Disp","Trn","Avg.Passes","PassSuc%","Crosses","LB","TB","Ballond'OrNominee"
9,28,14,"0.571428571","0.285714286",0,0,"3.257142857","0.471428571","0.691836735","0.316326531","0.663265306",0,"0.481632653","0.208163265","0.091836735",0,"1.512244898","0.73877551","0.593877551","0.797959184","1.732653061","1.353061224","27.81836735","81.21632653","0.091836735","0.908163265","0.316326531","Yes"
11,18,2,"0.5625","0.0625",8,2,"3.609090909","0.384848485","0.606060606","0.615151515","1.918181818",0,"0.481818182","0.166666667",0,0,"0.845454545","0.906060606","2.16969697","0.309090909","1.687878788","1.933333333","19.86060606","75.3969697","0.166666667","0.557575758","0.096969697","Yes"
4,14,8,"0.378378378","0.216216216",1,0,"1.951351351","0.167567568","1.2","0.548648649",1,0,0,"0.802702703","0.083783784",0,"1.556756757","1.708108108","1.167567568","0.467567568","2.005405405","1.667567568","35.3972973","83.42432432","0.116216216","1.705405405","0.167567568","No"
12,1,6,"0.038461538","0.230769231",1,0,"1.296153846","0.192307692","0.715384615","0.642307692","0.457692308",0,"0.180769231","0.365384615","0.073076923",0,"1.353846154","1.019230769","0.35","0.303846154","0.980769231","1.153846154","22.59230769","73.58846154","0.484615385","0.538461538","0.415384615","No"
0,6,12,"0.176470588","0.352941176",4,0,"2.9",2,"1.3","1.7","0.7",0,"0.7","1.3","0.1",0,"2.5","1.5","1.9","0.1","1.3","1.2","54.6","70.9","0.9","2.7","0.4","No"
15,1,2,"0.043478261","0.086956522",0,0,1,"0.2","0.3","0.2","0.7",0,"0.3","0.3",0,0,"0.3","0.1",1,"0.3","0.9","0.9","6.3","80.6","0.4","0.1",0,"No"
2,3,1,"0.115384615","0.038461538",6,0,"1.6",1,"0.9",1,"1.1","0.1","0.4","1.1","0.1",0,"1.3","2.6","1.3","0.3","2.8","0.8","30.1","76.5","1.4","1.1","0.2","No"
3,7,5,"0.170731707","0.12195122",3,0,"1.668292683","1.743902439","0.856097561","0.463414634","1.185365854",0,"1.297560976","0.392682927","0.092682927",0,"0.856097561","0.370731707","1.463414634","0.485365854","1.741463415","1.834146341","23.46097561","67.13902439","0.27804878","0.27804878",0,"No"
7,6,5,"0.166666667","0.138888889",7,1,"1.133333333","0.416666667","1.633333333","2.216666667","2.133333333",0,"0.25","0.416666667","0.033333333",0,"0.95","0.966666667","1.05","0.166666667","1.383333333","1.45","26.33333333","77.78333333","0.45","0.75","0.166666667","No"
9,1,6,"0.03125","0.1875",1,0,"2.065625","0.51875","1.059375","1.059375","1.18125",0,"0.059375","0.440625",0,0,"1.8625",1375,"2.35625","0.2","2.165625","1.3375","27.28125","73.915625","1.015625","1.971875","0.5","No"
